# File Name: /shared/data/ui/current_run/DSF Protocol 25-95C X1M3 0-5 K increments_20250110_145235.eds,file_name,,,,,
# Comment: ,,,,,,
# Operator:,,,,,,
# Barcode: ,,,,,,
# Instrument Type:,,,,,,
# Block Type: 384-Well Block,,,,,,
# Instrument Name: ,,,,,,
# Instrument Serial Number: ,,,,,,
# Heated Cover Serial Number: ,,,,,,
# Block Serial Number: ,,,,,,
# Run Start Date/Time: ,,,,,,
# Run End Date/Time: ,,,,,,
# Run Duration: ,,,,,,
# Sample Volume: 20.0,,,,,,
# Cover Temperature: 105.0,,,,,,
# Passive Reference: ,,,,,,
# Melt Stage Number: 2,,,,,,
# Quantification Cycle Method: CT,,,,,,
# Post-read Stage/Step: ,,,,,,
# Analysis Date/Time: ,,,,,,
# Exported On: ,,,,,,
Well,Well Position,Reading Number,Target,Temperature,Fluorescence,Derivative
1,A1,75,DSF,61.85492706298828,350771.5625,10083.24609
1,A1,76,DSF,62.352935791015625,345557.1563,10257.07031
1,A1,77,DSF,62.85094451904297,340071.5313,10396.01074
1,A1,78,DSF,63.34894561767578,333897.625,10487.05078
1,A1,79,DSF,63.846954345703125,329524.4688,10520.21191
1,A1,80,DSF,64.34496307373047,323310.5625,10496.55469
1,A1,81,DSF,64.84297180175781,318289.5938,10426.90625
1,A1,82,DSF,65.34098052978516,313600.75,10325.13867
1,A1,83,DSF,65.83898162841797,308445.8438,10201.28516
1,A1,84,DSF,66.33699035644531,303150.0313,10059.26172
1,A1,85,DSF,66.83499908447266,298459.8438,9899.087891
1,A1,86,DSF,67.33300781,292883.375,9721.546875
1,A1,87,DSF,67.83100891113281,288846.1875,9531.539063
1,A1,88,DSF,68.32901763916016,283558.1563,9338.748047
1,A1,89,DSF,68.82702637,279975.2813,9155.380859
1,A1,90,DSF,69.32503509521484,274766.8438,8993.53418
1,A1,91,DSF,69.82304382324219,270905.3125,8862.895508
1,A1,92,DSF,70.32104492,266587.375,8769.202148
1,A1,93,DSF,70.81905364990234,262429.4375,8713.166992
1,A1,94,DSF,71.31706237792969,258495.9219,8689.652344
1,A1,95,DSF,71.81507110595703,253917.6563,8687.837891
1,A1,96,DSF,72.31307983398438,249477.8906,8692.71582
1,A1,97,DSF,72.81108093261719,246039.7031,8688.535156
1,A1,98,DSF,73.30908966064453,240742.0156,8662.908203
1,A1,99,DSF,73.80709838867188,236145.9688,8610.021484
1,A1,100,DSF,74.30510711669922,232371,8531.334961
1,A1,101,DSF,74.80310821533203,228450.6719,8433.287109
1,A1,102,DSF,75.30111694335938,224199.8906,8323.529297
1,A1,103,DSF,75.79912567138672,219795.5625,8207.576172
1,A1,104,DSF,76.29713439941406,215927.6875,8087.169434
1,A1,105,DSF,76.79514313,212514.4688,7960.149414
1,A1,106,DSF,77.29314422607422,208189.4688,7822.25293
1,A1,107,DSF,77.79115295410156,204500.0625,7670.839355
1,A1,108,DSF,78.28916168,200714.625,7510.163574
1,A1,109,DSF,78.78717041015625,196984.6094,7354.49707
1,A1,110,DSF,79.28517914,192762.3125,7225.996094
1,A1,111,DSF,79.78318024,188781.0938,7145.415039
1,A1,112,DSF,80.28118896484375,186385.25,7121.000977
1,A1,113,DSF,80.77919769,181639.7656,7142.258301
1,A1,114,DSF,81.27720642089844,178575.2344,7183.691406
1,A1,115,DSF,81.77521514892578,174398.5469,7215.707031
1,A1,116,DSF,82.27322387695312,170878.2188,7215.744141
1,A1,117,DSF,82.77122497558594,167766.75,7173.312988
1,A1,118,DSF,83.26923370361328,164296.2969,7088.903809
1,A1,119,DSF,83.76724243164062,159845.5469,6970.647949
1,A1,120,DSF,84.26525115966797,157747.7031,6831.522949
1,A1,121,DSF,84.76325988769531,153349.5938,6687.416016
1,A1,122,DSF,85.26126098632812,151708.3906,6553.868164
1,A1,123,DSF,85.75926971435547,147818.1875,6441.869629
1,A1,124,DSF,86.25727844238281,145353.2188,6354.463867
1,A1,125,DSF,86.75528717041016,141794.9531,6286.666992
1,A1,126,DSF,87.25328826904297,138777.5,6228.394043
1,A1,127,DSF,87.75129699707031,136420.25,6168.14502
1,A1,128,DSF,88.24930572509766,132496.5313,6095.697266
1,A1,129,DSF,88.74731445,130431.4219,6003.511719
1,A1,130,DSF,89.24532318115234,127139.2188,5887.942383
1,A1,131,DSF,89.74332427978516,123787.3672,5750.980469
1,A1,132,DSF,90.24133301,122183.9297,5601.232422
1,A1,133,DSF,90.73934173583984,118684.9453,5452.969727
1,A1,134,DSF,91.23735046386719,117165.3516,5321.992188
1,A1,135,DSF,91.73535919189453,114043.5391,5219.474121
1,A1,136,DSF,92.23336029052734,112717.6016,5146.608398
1,A1,137,DSF,92.73136901855469,109371.7813,5092.643555
1,A1,138,DSF,93.22937774658203,107334.3125,5038.39502
1,A1,139,DSF,93.72738647460938,104777.9609,4964.317871
1,A1,140,DSF,94.22539520263672,101471.0391,4859.316406
1,A1,141,DSF,94.72339630126953,100190.3906,4708.061035
2,A2,1,DSF,25.002399444580078,37926.01172,1603.0211181640625
2,A2,2,DSF,25.500408172607422,36013.86719,1566.874023
2,A2,3,DSF,25.99841309,34797.00391,1511.5916748046875
2,A2,4,DSF,26.496421813964844,34672.24609,1435.3489990234375
2,A2,5,DSF,26.994428634643555,33302.96875,1345.233154296875
2,A2,6,DSF,27.492435455322266,33171.41797,1253.312988
2,A2,7,DSF,27.99044418334961,32567.55664,1170.129150390625
2,A2,8,DSF,28.488449096679688,32493.75977,1100.0880126953125
2,A2,9,DSF,28.98645782470703,31625.96484,1041.364746
2,A2,10,DSF,29.484464645385742,31096.12695,989.6187744140625
2,A2,11,DSF,29.982471466064453,30393.67969,942.1934204101562
2,A2,12,DSF,30.480478286743164,30196.78906,899.8216552734375
2,A2,13,DSF,30.978485107421875,29906.64063,865.1331787109375
2,A2,14,DSF,31.47649383544922,29484.50781,839.8143310546875
2,A2,15,DSF,31.974498748779297,29460.11914,822.7307739257812
2,A2,16,DSF,32.47250747680664,28368.25586,810.1400146484375
2,A2,17,DSF,32.97051239013672,28650.77539,797.3515625
2,A2,18,DSF,33.46852111816406,28003.84375,780.4725952148438
2,A2,19,DSF,33.966529846191406,27394.60156,757.416748
2,A2,20,DSF,34.464534759521484,27371.70703,728.2158203
2,A2,21,DSF,34.96253967285156,27184.20117,695.0678711
2,A2,22,DSF,35.460548400878906,26303.32031,662.1688232421875
2,A2,23,DSF,35.95855712890625,26317.11914,634.8754272460938
2,A2,24,DSF,36.456565856933594,26280.65234,617.7930297851562
2,A2,25,DSF,36.95457077026367,25895.99805,612.3075561523438
2,A2,26,DSF,37.45257568359375,25788.5918,614.9933471679688
2,A2,27,DSF,37.950584411621094,25744.5332,618.3682861328125
2,A2,28,DSF,38.44859313964844,25050.75,614.2265014648438
2,A2,29,DSF,38.94660186767578,24938.35352,597.9027709960938
2,A2,30,DSF,39.44460678100586,24025.49219,571.0915527
2,A2,31,DSF,39.94261169433594,24189.87891,541.6412353515625
2,A2,32,DSF,40.44062042236328,24544.68555,520.5991821289062
2,A2,33,DSF,40.938629150390625,24076.86133,518.0673828
2,A2,34,DSF,41.43663787841797,23228.87891,539.2399902
2,A2,35,DSF,41.93464279174805,24007.02734,581.5906372070312
2,A2,36,DSF,42.432647705078125,23989.98438,634.2362060546875
2,A2,37,DSF,42.93065643310547,23168.28516,680.8527221679688
2,A2,38,DSF,43.42866516113281,22946.69531,706.2252197265625
2,A2,39,DSF,43.92667007446289,22147.57227,703.6744384765625
2,A2,40,DSF,44.42467498779297,21213.9375,678.8242188
2,A2,41,DSF,44.92268371582031,21470.94141,646.6087036132812
2,A2,42,DSF,45.420692443847656,21640.02148,623.1928711
2,A2,43,DSF,45.91870117,21863.29688,618.1040039
2,A2,44,DSF,46.41670608520508,21217.87695,631.4945678710938
2,A2,45,DSF,46.914710998535156,20238.25195,657.0792236328125
2,A2,46,DSF,47.41271973,20494.28906,687.2642822265625
2,A2,47,DSF,47.910728454589844,20538.66602,716.5021973
2,A2,48,DSF,48.40873718261719,19616.76172,741.6461791992188
2,A2,49,DSF,48.906742095947266,19455.63867,760.8171387
2,A2,50,DSF,49.404747009277344,19277.38867,772.6424560546875
2,A2,51,DSF,49.90275573730469,18594.6875,776.3419189453125
2,A2,52,DSF,50.40076446533203,18088.73828,772.0008544921875
2,A2,53,DSF,50.898773193359375,18302.09375,760.4642333984375
2,A2,54,DSF,51.39677429199219,17527.08203,742.9635009765625
2,A2,55,DSF,51.89478302001953,17230.30078,720.9324340820312
2,A2,56,DSF,52.392791748046875,17022.24805,696.0521240234375
2,A2,57,DSF,52.89080047607422,16561.70703,670.1763916015625
2,A2,58,DSF,53.38880920410156,16246.73438,644.8887939453125
2,A2,59,DSF,53.886810302734375,16559.76758,620.9448852539062
2,A2,60,DSF,54.38481903076172,15662.13574,598.0972290039062
2,A2,61,DSF,54.88282775878906,15552.81836,575.3740844726562
2,A2,62,DSF,55.380836486816406,15376.46289,551.5010986328125
2,A2,63,DSF,55.87884521484375,15317.7998,525.2084350585938
2,A2,64,DSF,56.37684631347656,14914.99023,495.5323181152344
2,A2,65,DSF,56.874855041503906,14805.50977,462.2752380371094
2,A2,66,DSF,57.37286376953125,14526.10742,426.2763366699219
